ticker,name,exchange,induty_code,corp_cls
005930,삼성전자,KOSPI,264,Y
000660,SK하이닉스,KOSPI,2612,Y
005380,현대차,KOSPI,30121,Y
005935,삼성전자우,KOSPI,264,Y
373220,LG에너지솔루션,KOSPI,28202,Y
402340,SK스퀘어,KOSPI,64992,Y
207940,삼성바이오로직스,KOSPI,211,Y
000270,기아,KOSPI,30121,Y
034020,두산에너빌리티,KOSPI,29119,Y
329180,HD현대중공업,KOSPI,31113,Y
012450,한화에어로스페이스,KOSPI,31321,Y
028260,삼성물산,KOSPI,467,Y
105560,KB금융,KOSPI,64992,Y
068270,셀트리온,KOSPI,211,Y
012330,현대모비스,KOSPI,303,Y
032830,삼성생명,KOSPI,65110,Y
055550,신한지주,KOSPI,64992,Y
042660,한화오션,KOSPI,3111,Y
010130,고려아연,KOSPI,24213,Y
006800,미래에셋증권,KOSPI,66121,Y
035420,NAVER,KOSPI,63120,Y
267260,HD현대일렉트릭,KOSPI,281,Y
006400,삼성SDI,KOSPI,28202,Y
015760,한국전력,KOSPI,35120,Y
009150,삼성전기,KOSPI,2622,Y
086790,하나금융지주,KOSPI,64992,Y
005490,POSCO홀딩스,KOSPI,2411,Y
009540,HD한국조선해양,KOSPI,64992,Y
042700,한미반도체,KOSPI,29271,Y
034730,SK,KOSPI,64992,Y
051910,LG화학,KOSPI,20111,Y
035720,카카오,KOSPI,63120,Y
316140,우리금융지주,KOSPI,64992,Y
298040,효성중공업,KOSPI,281,Y
010140,삼성중공업,KOSPI,3111,Y
064350,현대로템,KOSPI,31201,Y
000810,삼성화재,KOSPI,65121,Y
066570,LG전자,KOSPI,264,Y
010120,LS ELECTRIC,KOSPI,28121,Y
267250,HD현대,KOSPI,64992,Y
138040,메리츠금융지주,KOSPI,64992,Y
086280,현대글로비스,KOSPI,5299,Y
003670,포스코퓨처엠,KOSPI,282,Y
096770,SK이노베이션,KOSPI,192,Y
272210,한화시스템,KOSPI,26299,Y
000150,두산,KOSPI,64992,Y
024110,기업은행,KOSPI,64121,Y
011200,HMM,KOSPI,50112,Y
033780,KT&G,KOSPI,12000,Y
047810,한국항공우주,KOSPI,31311,Y
000720,현대건설,KOSPI,41221,Y
017670,SK텔레콤,KOSPI,61220,Y
0126Z0,삼성에피스홀딩스,KOSPI,64992,Y
352820,하이브,KOSPI,592,Y
003550,LG,KOSPI,64992,Y
030200,KT,KOSPI,612,Y
018260,삼성에스디에스,KOSPI,62021,Y
071050,한국금융지주,KOSPI,64992,Y
307950,현대오토에버,KOSPI,582,Y
005830,DB손해보험,KOSPI,65121,Y
323410,카카오뱅크,KOSPI,64121,Y
039490,키움증권,KOSPI,66121,Y
005940,NH투자증권,KOSPI,66121,Y
047050,포스코인터내셔널,KOSPI,461,Y
010950,S-Oil,KOSPI,19210,Y
259960,크래프톤,KOSPI,5821,Y
278470,에이피알,KOSPI,20423,Y
005387,현대차2우B,KOSPI,30121,Y
079550,LIG넥스원,KOSPI,25200,Y
180640,한진칼,KOSPI,64992,Y
003490,대한항공,KOSPI,511,Y
000880,한화,KOSPI,20494,Y
016360,삼성증권,KOSPI,66121,Y
326030,SK바이오팜,KOSPI,7011,Y
007660,이수페타시스,KOSPI,2622,Y
003230,삼양식품,KOSPI,108,Y
006260,LS,KOSPI,64992,Y
377300,카카오페이,KOSPI,66199,Y
009830,한화솔루션,KOSPI,20111,Y
161390,한국타이어앤테크놀로지,KOSPI,221,Y
090430,아모레퍼시픽,KOSPI,20423,Y
000100,유한양행,KOSPI,212,Y
443060,HD현대마린솔루션,KOSPI,7212,Y
128940,한미약품,KOSPI,21212,Y
011070,LG이노텍,KOSPI,262,Y
005385,현대차우,KOSPI,30121,Y
064400,LG씨엔에스,KOSPI,62021,Y
029780,삼성카드,KOSPI,64913,Y
032640,LG유플러스,KOSPI,61220,Y
028050,삼성E&A,KOSPI,72129,Y
034220,LG디스플레이,KOSPI,2621,Y
454910,두산로보틱스,KOSPI,2928,Y
001440,대한전선,KOSPI,28302,Y
267270,HD건설기계,KOSPI,292,Y
052690,한전기술,KOSPI,72129,Y
001040,CJ,KOSPI,64992,Y
078930,GS,KOSPI,64992,Y
004020,현대제철,KOSPI,2411,Y
138930,BNK금융지주,KOSPI,64992,Y
241560,두산밥캣,KOSPI,29241,Y
175330,JB금융지주,KOSPI,64992,Y
022100,포스코DX,KOSPI,72129,Y
021240,코웨이,KOSPI,969,Y
002380,KCC,KOSPI,20411,Y
088980,맥쿼리인프라,KOSPI,64201,Y
271560,오리온,KOSPI,108,Y
066970,엘앤에프,KOSPI,28202,Y
062040,산일전기,KOSPI,28112,Y
450080,에코프로머티,KOSPI,28202,Y
036570,엔씨소프트,KOSPI,582,Y
018880,한온시스템,KOSPI,29172,Y
082740,한화엔진,KOSPI,29111,Y
251270,넷마블,KOSPI,5821,Y
088350,한화생명,KOSPI,65110,Y
489790,한화비전,KOSPI,264,Y
111770,영원무역,KOSPI,46800,Y
011790,SKC,KOSPI,204,Y
103590,일진전기,KOSPI,2830,Y
011170,롯데케미칼,KOSPI,20111,Y
000990,DB하이텍,KOSPI,2611,Y
047040,대우건설,KOSPI,41112,Y
031210,서울보증보험,KOSPI,65122,Y
035250,강원랜드,KOSPI,91249,Y
051900,LG생활건강,KOSPI,20422,Y
011780,금호석유화학,KOSPI,201,Y
017800,현대엘리베이터,KOSPI,29162,Y
302440,SK바이오사이언스,KOSPI,211,Y
014680,한솔케미칼,KOSPI,20129,Y
036460,한국가스공사,KOSPI,35200,Y
439260,대한조선,KOSPI,3111,Y
004990,롯데지주,KOSPI,64992,Y
001720,신영증권,KOSPI,66121,Y
012510,더존비즈온,KOSPI,62022,Y
004170,신세계,KOSPI,47111,Y
457190,이수스페셜티케미컬,KOSPI,20111,Y
005850,에스엘,KOSPI,303,Y
009970,영원무역홀딩스,KOSPI,64992,Y
012750,에스원,KOSPI,75320,Y
103140,풍산,KOSPI,242,Y
009420,한올바이오파마,KOSPI,212,Y
097950,CJ제일제당,KOSPI,108,Y
006800,미래에셋증권2우B,KOSPI,66121,Y
353200,대덕전자,KOSPI,2622,Y
001450,현대해상,KOSPI,65121,Y
023530,롯데쇼핑,KOSPI,47111,Y
000120,CJ대한통운,KOSPI,493,Y
008930,한미사이언스,KOSPI,64992,Y
000240,한국앤컴퍼니,KOSPI,64992,Y
139130,iM금융지주,KOSPI,64992,Y
204320,HL만도,KOSPI,303,Y
071970,HD현대마린엔진,KOSPI,29119,Y
139480,이마트,KOSPI,471,Y
010060,OCI홀딩스,KOSPI,64992,Y
004800,효성,KOSPI,649,Y
011210,현대위아,KOSPI,303,Y
028670,팬오션,KOSPI,50112,Y
051600,한전KPS,KOSPI,42311,Y
026960,동서,KOSPI,4632,Y
383220,F&F,KOSPI,14111,Y
003690,코리안리,KOSPI,65200,Y
081660,미스토홀딩스,KOSPI,464,Y
336260,두산퓨얼셀,KOSPI,28111,Y
004370,농심,KOSPI,108,Y
030000,제일기획,KOSPI,71310,Y
002790,아모레퍼시픽홀딩스,KOSPI,20423,Y
069960,현대백화점,KOSPI,47111,Y
001430,세아베스틸지주,KOSPI,2411,Y
005440,현대지에프홀딩스,KOSPI,64992,Y
023590,다우기술,KOSPI,631,Y
000155,두산우,KOSPI,64992,Y
085620,미래에셋생명,KOSPI,65110,Y
020150,롯데에너지머티리얼즈,KOSPI,2629,Y
112610,씨에스윈드,KOSPI,2511,Y
003540,대신증권,KOSPI,66121,Y
097230,HJ중공업,KOSPI,41221,Y
361610,SK아이이테크놀로지,KOSPI,282,Y
282330,BGF리테일,KOSPI,47122,Y
017960,한국카본,KOSPI,2512,Y
018670,SK가스,KOSPI,46713,Y
192820,코스맥스,KOSPI,20423,Y
483650,달바글로벌,KOSPI,20423,Y
069620,대웅제약,KOSPI,212,Y
073240,금호타이어,KOSPI,221,Y
006280,녹십자,KOSPI,212,Y
375500,DL이앤씨,KOSPI,412,Y
000500,가온전선,KOSPI,28302,Y
462870,시프트업,KOSPI,58212,Y
006360,GS건설,KOSPI,4111,Y
005070,코스모신소재,KOSPI,204,Y
006040,동원산업,KOSPI,64992,Y
298020,효성티앤씨,KOSPI,2050,Y
008770,호텔신라,KOSPI,47859,Y
003570,SNT다이내믹스,KOSPI,303,Y
120110,코오롱인더,KOSPI,205,Y
034230,파라다이스,KOSPI,91249,Y
032350,롯데관광개발,KOSPI,75210,Y
007070,GS리테일,KOSPI,47122,Y
161890,한국콜마,KOSPI,20423,Y
003530,한화투자증권,KOSPI,66121,Y
395400,SK리츠,KOSPI,68112,Y
086520,에코프로,KOSDAQ,64992,K
196170,알테오젠,KOSDAQ,70113,K
247540,에코프로비엠,KOSDAQ,28202,K
000250,삼천당제약,KOSDAQ,212,K
277810,레인보우로보틱스,KOSDAQ,29280,K
298380,에이비엘바이오,KOSDAQ,211,K
950160,코오롱티슈진,KOSDAQ,211,K
058470,리노공업,KOSDAQ,2629,K
214370,케어젠,KOSDAQ,211,K
141080,리가켐바이오,KOSDAQ,70113,K
028300,HLB,KOSDAQ,213,K
087010,펩트론,KOSDAQ,211,K
240810,원익IPS,KOSDAQ,292,K
310210,보로노이,KOSDAQ,701,K
039030,이오테크닉스,KOSDAQ,29271,K
140410,메지온,KOSDAQ,70113,K
108490,로보티즈,KOSDAQ,29299,K
095340,ISC,KOSDAQ,465,K
347850,디앤디파마텍,KOSDAQ,70113,K
0009K0,에임드바이오,KOSDAQ,70113,K
319400,현대무벡스,KOSDAQ,291,K
214150,클래시스,KOSDAQ,271,K
403870,HPSP,KOSDAQ,29271,K
226950,올릭스,KOSDAQ,70113,K
214450,파마리서치,KOSDAQ,213,K
357780,솔브레인,KOSDAQ,204,K
263750,펄어비스,KOSDAQ,58211,K
145020,휴젤,KOSDAQ,211,K
058610,에스피지,KOSDAQ,28111,K
237690,에스티팜,KOSDAQ,212,K
068760,셀트리온제약,KOSDAQ,212,K
084370,유진테크,KOSDAQ,29271,K
440110,파두,KOSDAQ,26112,K
083650,비에이치아이,KOSDAQ,29176,K
178320,서진시스템,KOSDAQ,289,K
032820,우리기술,KOSDAQ,281,K
005290,동진쎄미켐,KOSDAQ,20129,K
475830,오름테라퓨틱,KOSDAQ,211,K
030530,원익홀딩스,KOSDAQ,201,K
257720,실리콘투,KOSDAQ,46800,K
036930,주성엔지니어링,KOSDAQ,29229,K
041510,에스엠,KOSDAQ,59201,K
064760,티씨케이,KOSDAQ,23999,K
035900,JYP Ent.,KOSDAQ,59201,K
290650,엘앤씨바이오,KOSDAQ,212,K
067310,하나마이크론,KOSDAQ,2611,K
323280,태성,KOSDAQ,292,K
491000,리브스메드,KOSDAQ,27112,K
098460,고영,KOSDAQ,29271,K
160190,하이젠알앤엠,KOSDAQ,28111,K
101490,에스앤에스텍,KOSDAQ,2629,K
476830,알지노믹스,KOSDAQ,70113,K
099320,쎄트렉아이,KOSDAQ,3131,K
445680,큐리옥스바이오시스템즈,KOSDAQ,271,K
082270,젬백스,KOSDAQ,29271,K
347700,스피어,KOSDAQ,58222,K
222800,심텍,KOSDAQ,2622,K
039200,오스코텍,KOSDAQ,212,K
085660,차바이오텍,KOSDAQ,211,K
140860,파크시스템스,KOSDAQ,27219,K
065350,신성델타테크,KOSDAQ,28519,K
437730,삼현,KOSDAQ,303,K
038500,삼표시멘트,KOSDAQ,239,K
031980,피에스케이홀딩스,KOSDAQ,29271,K
319660,피에스케이,KOSDAQ,29271,K
466100,클로봇,KOSDAQ,58221,K
043260,성호전자,KOSDAQ,26291,K
456160,지투지바이오,KOSDAQ,21212,K
003380,하림지주,KOSDAQ,64992,K
232140,와이씨,KOSDAQ,292,K
080220,제주반도체,KOSDAQ,2611,K
458870,씨어스테크놀로지,KOSDAQ,27199,K
060370,LS마린솔루션,KOSDAQ,423,K
089030,테크윙,KOSDAQ,29271,K
090710,휴림로봇,KOSDAQ,29280,K
397030,에이프릴바이오,KOSDAQ,70113,K
348370,엔켐,KOSDAQ,20119,K
035760,CJ ENM,KOSDAQ,602,K
281740,레이크머티리얼즈,KOSDAQ,204,K
078600,대주전자재료,KOSDAQ,2629,K
048410,현대바이오,KOSDAQ,204,K
195940,HK이노엔,KOSDAQ,212,K
218410,RFHIC,KOSDAQ,264,K
388210,씨엠티엑스,KOSDAQ,26299,K
388720,유일로보틱스,KOSDAQ,292,K
095610,테스,KOSDAQ,29271,K
096530,씨젠,KOSDAQ,2130,K
007390,네이처셀,KOSDAQ,211,K
122870,와이지엔터테인먼트,KOSDAQ,59201,K
124500,아이티센글로벌,KOSDAQ,62021,K
056080,유진로봇,KOSDAQ,292,K
253450,스튜디오드래곤,KOSDAQ,59114,K
131970,두산테스나,KOSDAQ,739,K
127120,제이에스링크,KOSDAQ,70111,K
293490,카카오게임즈,KOSDAQ,5821,K
036540,SFA반도체,KOSDAQ,2611,K
189300,인텔리안테크,KOSDAQ,26429,K
171090,선익시스템,KOSDAQ,292,K
137400,피엔티,KOSDAQ,292,K
204270,제이앤티씨,KOSDAQ,262,K
389470,인벤티지랩,KOSDAQ,701,K
166090,하나머티리얼즈,KOSDAQ,2612,K
161580,필옵틱스,KOSDAQ,2927,K
174900,앱클론,KOSDAQ,213,K
056190,에스에프에이,KOSDAQ,292,K
417200,LS머트리얼즈,KOSDAQ,26291,K
328130,루닛,KOSDAQ,58222,K
115180,큐리언트,KOSDAQ,70113,K
100790,미래에셋벤처투자,KOSDAQ,649,K
183300,코미코,KOSDAQ,29271,K
222080,씨아이에스,KOSDAQ,292,K
036830,솔브레인홀딩스,KOSDAQ,715,K
187660,현대ADM,KOSDAQ,70113,K
476060,온코닉테라퓨틱스,KOSDAQ,701,K
376900,로킷헬스케어,KOSDAQ,21309,K
213420,덕산네오룩스,KOSDAQ,262,K
358570,지아이이노베이션,KOSDAQ,70113,K
006730,서부T&D,KOSDAQ,551,K
032190,다우데이타,KOSDAQ,46510,K
089970,브이엠,KOSDAQ,29271,K
348340,뉴로메카,KOSDAQ,29280,K
052400,코나아이,KOSDAQ,58221,K
036810,에프에스티,KOSDAQ,2629,K
082920,비츠로셀,KOSDAQ,28201,K
131290,티에스이,KOSDAQ,27212,K
490470,세미파이브,KOSDAQ,721,K
086900,메디톡스,KOSDAQ,211,K
014620,성광벤드,KOSDAQ,24133,K
086450,동국제약,KOSDAQ,212,K
376300,디어유,KOSDAQ,58222,K
420770,기가비스,KOSDAQ,292,K
033100,제룡전기,KOSDAQ,2811,K
241710,코스메카코리아,KOSDAQ,20423,K
468530,프로티나,KOSDAQ,701,K
033500,동성화인텍,KOSDAQ,201,K
112040,위메이드,KOSDAQ,5821,K
295310,에이치브이엠,KOSDAQ,24219,K
475960,토모큐브,KOSDAQ,27309,K
121600,나노신소재,KOSDAQ,2049,K
060250,NHN KCP,KOSDAQ,661,K
078160,메디포스트,KOSDAQ,211,K
348210,넥스틴,KOSDAQ,29271,K
126340,비나텍,KOSDAQ,282,K
102710,이엔에프테크놀로지,KOSDAQ,2049,K
102940,코오롱생명과학,KOSDAQ,2110,K
074600,원익QnC,KOSDAQ,2312,K
009520,포스코엠텍,KOSDAQ,24199,K
067160,SOOP,KOSDAQ,582,K
486990,노타,KOSDAQ,582,K
399720,가온칩스,KOSDAQ,26112,K
